destiny,todo,todo_lagi,rating,reviewers,link
Ubud,Tur (884),Sepeda Bali Adventure Cycling and Tours,"5,0 dari 5 lingkaran",236 ulasan,https://www.tripadvisor.co.id/Attraction_Review-g297701-d3736070-Reviews-Sepeda_Bali_Adventure_Cycling_and_Tours-Ubud_Gianyar_Regency_Bali.html
Ubud,Tur (884),Jinggo Bali Driver,"5,0 dari 5 lingkaran",88 ulasan,https://www.tripadvisor.co.id/Attraction_Review-g297701-d7495360-Reviews-Jinggo_Bali_Driver-Ubud_Gianyar_Regency_Bali.html
Ubud,Tur (884),Sindu Bali Driver,"5,0 dari 5 lingkaran",171 ulasan,https://www.tripadvisor.co.id/Attraction_Review-g297701-d3974874-Reviews-Sindu_Bali_Driver-Ubud_Gianyar_Regency_Bali.html
Ubud,Tur (884),Bali OM Tours,"5,0 dari 5 lingkaran",396 ulasan,https://www.tripadvisor.co.id/Attraction_Review-g297701-d9681524-Reviews-Bali_OM_Tours-Ubud_Gianyar_Regency_Bali.html
Ubud,Aktivitas Luar Ruangan (525),Breathing Cold,"5,0 dari 5 lingkaran",100 ulasan,https://www.tripadvisor.co.id/Attraction_Review-g297701-d18846529-Reviews-Breathing_Cold-Ubud_Gianyar_Regency_Bali.html
Ubud,Aktivitas Luar Ruangan (525),Dewata Memories Tours,"5,0 dari 5 lingkaran",577 ulasan,https://www.tripadvisor.co.id/Attraction_Review-g297701-d13484738-Reviews-Dewata_Memories_Tours-Ubud_Gianyar_Regency_Bali.html
Ubud,Aktivitas Luar Ruangan (525),eBikes Bali Electric Bicycle Tours,"5,0 dari 5 lingkaran",1.537 ulasan,https://www.tripadvisor.co.id/Attraction_Review-g297701-d9778729-Reviews-EBikes_Bali_Electric_Bicycle_Tours-Ubud_Gianyar_Regency_Bali.html
Ubud,Aktivitas Luar Ruangan (525),Amansuka Tour - Tur Harian,"5,0 dari 5 lingkaran",953 ulasan,https://www.tripadvisor.co.id/Attraction_Review-g297701-d3753135-Reviews-Amansuka_Tour_Day_Tours-Ubud_Gianyar_Regency_Bali.html
Ubud,Aktivitas Luar Ruangan (525),Jegeg Bali Cycling -Tur Bersepeda,"5,0 dari 5 lingkaran",1.150 ulasan,https://www.tripadvisor.co.id/Attraction_Review-g297701-d1546017-Reviews-Jegeg_Bali_Cycling_Tours-Ubud_Gianyar_Regency_Bali.html
Ubud,Aktivitas Luar Ruangan (525),Aloha Ubud Swing,"5,0 dari 5 lingkaran",1.113 ulasan,https://www.tripadvisor.co.id/Attraction_Review-g297701-d16695288-Reviews-Aloha_Ubud_Swing-Ubud_Gianyar_Regency_Bali.html
Ubud,Aktivitas Luar Ruangan (525),Celebrity Bike Tours,"5,0 dari 5 lingkaran",869 ulasan,https://www.tripadvisor.co.id/Attraction_Review-g297701-d1580645-Reviews-Celebrity_Bike_Tour-Ubud_Gianyar_Regency_Bali.html
