Country Name,Travel Destination,Location,Things to Do,Hotel Link,Hotel Best Deal,Flight Link,Flight Best Deal,Review Count
Indonesia,Kecamatan Kuta,"Bali, Indonesia","['Tur (985)', 'Aktivitas Luar Ruangan (613)', 'Spa & Kebugaran (388)', 'Tur dengan Perahu & Olahraga Air (376)', 'Transportasi (263)', 'Tempat Belanja (210)', 'Hiburan malam (88)', 'Makanan & Minuman (59)', 'Kursus & Sanggar (51)', 'Hiburan & Permainan (34)', 'Museum (22)', 'Pemandangan & Tengara (20)', 'Wisata Alam & Taman (17)', 'Konser & Pertunjukan (7)', 'Taman Air & Taman Hiburan (4)', '', '', 'Lihat semua', 'Cocok untuk Pasangan (409)', 'Bagus Saat Hujan (378)', 'Harga terjangkau (302)', 'Cocok untuk Anak-Anak (241)', 'Cocok untuk Kelompok Besar (209)', 'Lokasi bulan madu (158)', 'Masuk Gratis (112)', 'Cocok untuk Penggemar Aktivitas Ekstrem (107)', 'Berjiwa petualang (41)', 'Tempat yang Belum Populer (29)']",https://www.tripadvisor.co.id/Hotels-g13117159-Kuta_District_Bali-Hotels.html,832798,https://www.tripadvisor.co.id/Flights-g13117159-Kuta_District_Bali-Cheap_Discount_Airfares.html,1305700,977574
Indonesia,Palangkaraya,"Kalimantan Tengah, Indonesia","['Wisata Alam & Taman (7)', 'Aktivitas Luar Ruangan (6)', 'Tur (5)', 'Pemandangan & Tengara (5)', 'Tur dengan Perahu & Olahraga Air (4)', 'Hiburan & Permainan (3)', 'Spa & Kebugaran (2)', 'Kursus & Sanggar (1)', 'Museum (1)', 'Transportasi (1)', 'Harga terjangkau (6)', 'Cocok untuk Anak-Anak (5)', 'Cocok untuk Kelompok Besar (4)', 'Cocok untuk Pasangan (3)', 'Berjiwa petualang (3)', 'Cocok untuk Penggemar Aktivitas Ekstrem (2)', 'Masuk Gratis (2)', 'Bagus Saat Hujan (2)', 'Tempat yang Belum Populer (1)']",https://www.tripadvisor.co.id/Hotels-g303951-Palangkaraya_Central_Kalimantan_Kalimantan-Hotels.html,515702,https://www.tripadvisor.co.id/Flights-g303951-Palangkaraya_Central_Kalimantan_Kalimantan-Cheap_Discount_Airfares.html,1393300,1768
Indonesia,Situbondo,"Jawa Timur, Indonesia","['Wisata Alam & Taman (6)', 'Aktivitas Luar Ruangan (5)', 'Tur (1)', 'Pemandangan & Tengara (1)', 'Harga terjangkau (3)', 'Cocok untuk Anak-Anak (3)', 'Cocok untuk Kelompok Besar (3)', 'Cocok untuk Pasangan (2)', 'Cocok untuk Penggemar Aktivitas Ekstrem (1)', 'Masuk Gratis (1)', 'Berjiwa petualang (1)']",https://www.tripadvisor.co.id/Hotels-g303955-Situbondo_East_Java_Java-Hotels.html,1289257,https://www.tripadvisor.co.id/Flights-g303955-Situbondo_East_Java_Java-Cheap_Discount_Airfares.html,1373152,634
Indonesia,Mojokerto,"Jawa Timur, Indonesia","['Pemandangan & Tengara (17)', 'Wisata Alam & Taman (11)', 'Aktivitas Luar Ruangan (2)', 'Tempat Belanja (1)', 'Spa & Kebugaran (1)', 'Tur (1)', 'Museum (1)', 'Taman Air & Taman Hiburan (1)', 'Tur dengan Perahu & Olahraga Air (1)', 'Hiburan & Permainan (1)', 'Harga terjangkau (7)', 'Cocok untuk Kelompok Besar (3)', 'Cocok untuk Anak-Anak (2)', 'Bagus Saat Hujan (1)']",https://www.tripadvisor.co.id/Hotels-g303954-Mojokerto_East_Java_Java-Hotels.html,121440,https://www.tripadvisor.co.id/Flights-g303954-Mojokerto_East_Java_Java-Cheap_Discount_Airfares.html,1373152,863
Indonesia,Carita,"Labuhan, Indonesia","['Tur (6)', 'Aktivitas Luar Ruangan (6)', 'Tur dengan Perahu & Olahraga Air (2)', 'Wisata Alam & Taman (1)', 'Cocok untuk Pasangan (3)', 'Cocok untuk Anak-Anak (3)', 'Bagus Saat Hujan (2)']",https://www.tripadvisor.co.id/Hotels-g317104-Carita_Labuhan_Banten_Province_Java-Hotels.html,1307247,https://www.tripadvisor.co.id/Flights-g317104-Carita_Labuhan_Banten_Province_Java-Cheap_Discount_Airfares.html,0,188
Indonesia,Mengwi,"Bali, Indonesia","['Tur (32)', 'Aktivitas Luar Ruangan (14)', 'Pemandangan & Tengara (7)', 'Tur dengan Perahu & Olahraga Air (5)', 'Wisata Alam & Taman (4)', 'Transportasi (3)', 'Museum (2)', 'Tempat Belanja (1)', 'Makanan & Minuman (1)', 'Spa & Kebugaran (1)', 'Kursus & Sanggar (1)', 'Hiburan & Permainan (1)', 'Konser & Pertunjukan (1)', 'Cocok untuk Anak-Anak (11)', 'Cocok untuk Pasangan (10)', 'Harga terjangkau (9)', 'Cocok untuk Kelompok Besar (9)', 'Bagus Saat Hujan (6)', 'Lokasi bulan madu (4)', 'Cocok untuk Penggemar Aktivitas Ekstrem (2)', 'Tempat yang Belum Populer (2)', 'Masuk Gratis (1)', 'Berjiwa petualang (1)']",https://www.tripadvisor.co.id/Hotels-g1025508-Mengwi_Bali-Hotels.html,217140,https://www.tripadvisor.co.id/Flights-g1025508-Mengwi_Bali-Cheap_Discount_Airfares.html,1305700,5927
Indonesia,Tampaksiring,"Gianyar Regency, Indonesia","['Tur (21)', 'Aktivitas Luar Ruangan (16)', 'Pemandangan & Tengara (12)', 'Tur dengan Perahu & Olahraga Air (7)', 'Tempat Belanja (4)', 'Museum (2)', 'Taman Air & Taman Hiburan (2)', 'Spa & Kebugaran (1)', 'Kursus & Sanggar (1)', 'Cocok untuk Pasangan (10)', 'Harga terjangkau (8)', 'Cocok untuk Kelompok Besar (7)', 'Cocok untuk Anak-Anak (6)', 'Masuk Gratis (4)', 'Lokasi bulan madu (3)', 'Tempat yang Belum Populer (3)', 'Bagus Saat Hujan (2)', 'Cocok untuk Penggemar Aktivitas Ekstrem (1)', 'Berjiwa petualang (1)']",https://www.tripadvisor.co.id/Hotels-g1025505-Tampaksiring_Gianyar_Regency_Bali-Hotels.html,1044908,https://www.tripadvisor.co.id/Flights-g1025505-Tampaksiring_Gianyar_Regency_Bali-Cheap_Discount_Airfares.html,1349802,8115
Indonesia,Pasuruan,"Jawa Timur, Indonesia","['Wisata Alam & Taman (9)', 'Pemandangan & Tengara (8)', 'Aktivitas Luar Ruangan (4)', 'Tempat Belanja (2)', 'Tur (1)', 'Museum (1)', 'Taman Air & Taman Hiburan (1)', 'Cocok untuk Anak-Anak (5)', 'Harga terjangkau (4)', 'Cocok untuk Kelompok Besar (4)', 'Cocok untuk Pasangan (2)', 'Lokasi bulan madu (1)', 'Masuk Gratis (1)']",https://www.tripadvisor.co.id/Hotels-g297711-Pasuruan_East_Java_Java-Hotels.html,752066,https://www.tripadvisor.co.id/Flights-g297711-Pasuruan_East_Java_Java-Cheap_Discount_Airfares.html,1373152,1723
Indonesia,Nusa Tenggara Barat,Indonesia,"['Tur (734)', 'Aktivitas Luar Ruangan (717)', 'Tur dengan Perahu & Olahraga Air (304)', 'Transportasi (127)', 'Wisata Alam & Taman (122)', 'Spa & Kebugaran (84)', 'Tempat Belanja (45)', 'Pemandangan & Tengara (42)', 'Kursus & Sanggar (23)', 'Makanan & Minuman (18)', 'Hiburan malam (17)', 'Hiburan & Permainan (14)', 'Museum (5)', 'Taman Air & Taman Hiburan (3)', 'Kebun Binatang & Akuarium (1)', '', 'Lihat semua', 'Cocok untuk Pasangan (240)', 'Harga terjangkau (202)', 'Cocok untuk Kelompok Besar (180)', 'Cocok untuk Penggemar Aktivitas Ekstrem (148)', 'Bagus Saat Hujan (112)', 'Berjiwa petualang (110)', 'Cocok untuk Anak-Anak (104)', 'Lokasi bulan madu (90)', 'Masuk Gratis (51)', 'Tempat yang Belum Populer (34)']",https://www.tripadvisor.co.id/Hotels-g297732-West_Nusa_Tenggara-Hotels.html,1663593,https://www.tripadvisor.co.id/Flights-g297732-West_Nusa_Tenggara-Cheap_Discount_Airfares.html,1110550,276032
Indonesia,Cianjur,"Jawa Barat, Indonesia","['Pemandangan & Tengara (8)', 'Wisata Alam & Taman (7)', 'Tur (5)', 'Aktivitas Luar Ruangan (3)', 'Makanan & Minuman (2)', 'Transportasi (2)', 'Hiburan malam (1)', 'Kursus & Sanggar (1)', 'Cocok untuk Pasangan (3)', 'Harga terjangkau (3)', 'Cocok untuk Kelompok Besar (3)', 'Cocok untuk Anak-Anak (2)', 'Lokasi bulan madu (2)', 'Cocok untuk Penggemar Aktivitas Ekstrem (1)', 'Tempat yang Belum Populer (1)']",https://www.tripadvisor.co.id/Hotels-g1006216-Cianjur_West_Java_Java-Hotels.html,252066,https://www.tripadvisor.co.id/Flights-g1006216-Cianjur_West_Java_Java-Cheap_Discount_Airfares.html,363868,1109
