,Country Name,Travel Destination,Checking,Things to Do,location,reviewcount
15,Indonesia,Nusa Dua,Nusa Dua,"['Tur (148)', 'Aktivitas Luar Ruangan (106)', 'Spa & Kebugaran (81)', 'Tur dengan Perahu & Olahraga Air (70)', 'Transportasi (28)', 'Tempat Belanja (12)', 'Kursus & Sanggar (10)', 'Makanan & Minuman (9)', 'Hiburan malam (8)', 'Wisata Alam & Taman (7)', 'Hiburan & Permainan (5)', 'Pemandangan & Tengara (4)', 'Museum (2)', 'Konser & Pertunjukan (2)', 'Taman Air & Taman Hiburan (1)', '', 'Lihat semua', 'Cocok untuk Pasangan (90)', 'Harga terjangkau (61)', 'Bagus Saat Hujan (56)', 'Cocok untuk Anak-Anak (52)', 'Lokasi bulan madu (46)', 'Cocok untuk Kelompok Besar (37)', 'Cocok untuk Penggemar Aktivitas Ekstrem (17)', 'Tempat yang Belum Populer (9)', 'Masuk Gratis (8)', 'Berjiwa petualang (7)']","Semenanjung Nusa Dua, Indonesia",166489
16,Indonesia,Jimbaran,Jimbaran,"['Tur (187)', 'Aktivitas Luar Ruangan (104)', 'Tur dengan Perahu & Olahraga Air (61)', 'Spa & Kebugaran (52)', 'Tempat Belanja (22)', 'Transportasi (19)', 'Makanan & Minuman (10)', 'Kursus & Sanggar (7)', 'Hiburan & Permainan (7)', 'Pemandangan & Tengara (6)', 'Wisata Alam & Taman (3)', 'Hiburan malam (2)', 'Cocok untuk Pasangan (71)', 'Cocok untuk Anak-Anak (58)', 'Harga terjangkau (49)', 'Cocok untuk Kelompok Besar (49)', 'Bagus Saat Hujan (42)', 'Lokasi bulan madu (27)', 'Cocok untuk Penggemar Aktivitas Ekstrem (22)', 'Masuk Gratis (9)', 'Tempat yang Belum Populer (4)', 'Berjiwa petualang (2)']","Kuta Selatan, Indonesia",105628
17,Indonesia,Bandung,Bandung,"['Tur (92)', 'Aktivitas Luar Ruangan (67)', 'Tempat Belanja (66)', 'Pemandangan & Tengara (59)', 'Wisata Alam & Taman (47)', 'Spa & Kebugaran (38)', 'Transportasi (38)', 'Hiburan & Permainan (26)', 'Hiburan malam (20)', 'Museum (14)', 'Tur dengan Perahu & Olahraga Air (13)', 'Taman Air & Taman Hiburan (8)', 'Makanan & Minuman (5)', 'Kursus & Sanggar (3)', 'Kebun Binatang & Akuarium (2)', '', 'Lihat semua', 'Harga terjangkau (67)', 'Cocok untuk Anak-Anak (66)', 'Masuk Gratis (50)', 'Bagus Saat Hujan (45)', 'Cocok untuk Kelompok Besar (40)', 'Cocok untuk Pasangan (32)', 'Cocok untuk Penggemar Aktivitas Ekstrem (13)', 'Tempat yang Belum Populer (5)', 'Berjiwa petualang (5)', 'Lokasi bulan madu (1)']","Jawa Barat, Indonesia",153302
18,Indonesia,Sanur,Sanur,"['Tur (348)', 'Aktivitas Luar Ruangan (279)', 'Tur dengan Perahu & Olahraga Air (221)', 'Spa & Kebugaran (94)', 'Transportasi (47)', 'Tempat Belanja (38)', 'Kursus & Sanggar (20)', 'Makanan & Minuman (17)', 'Wisata Alam & Taman (9)', 'Pemandangan & Tengara (7)', 'Hiburan & Permainan (5)', 'Hiburan malam (4)', 'Museum (3)', 'Konser & Pertunjukan (1)', 'Sumber Informasi Wisatawan (1)', 'Cocok untuk Pasangan (113)', 'Harga terjangkau (83)', 'Bagus Saat Hujan (77)', 'Cocok untuk Anak-Anak (53)', 'Cocok untuk Kelompok Besar (44)', 'Lokasi bulan madu (36)', 'Cocok untuk Penggemar Aktivitas Ekstrem (36)', 'Berjiwa petualang (25)', 'Masuk Gratis (16)', 'Tempat yang Belum Populer (12)']","Denpasar, Indonesia",201289
19,Indonesia,Batam,Batam,"['Spa & Kebugaran (93)', 'Tur (65)', 'Transportasi (47)', 'Aktivitas Luar Ruangan (44)', 'Tempat Belanja (39)', 'Pemandangan & Tengara (24)', 'Hiburan malam (23)', 'Wisata Alam & Taman (21)', 'Tur dengan Perahu & Olahraga Air (18)', 'Makanan & Minuman (14)', 'Hiburan & Permainan (13)', 'Kursus & Sanggar (4)', 'Konser & Pertunjukan (3)', 'Taman Air & Taman Hiburan (2)', 'Museum (1)', '', 'Lihat semua', 'Bagus Saat Hujan (60)', 'Harga terjangkau (44)', 'Cocok untuk Pasangan (40)', 'Cocok untuk Anak-Anak (28)', 'Cocok untuk Kelompok Besar (27)', 'Masuk Gratis (20)', 'Lokasi bulan madu (11)', 'Cocok untuk Penggemar Aktivitas Ekstrem (4)', 'Tempat yang Belum Populer (2)', 'Berjiwa petualang (1)']","Riau Archipelago, Indonesia",59610
20,Indonesia,Lombok,Lombok,"['Tur (722)', 'Aktivitas Luar Ruangan (697)', 'Tur dengan Perahu & Olahraga Air (298)', 'Transportasi (125)', 'Wisata Alam & Taman (106)', 'Spa & Kebugaran (84)', 'Tempat Belanja (44)', 'Pemandangan & Tengara (39)', 'Kursus & Sanggar (23)', 'Makanan & Minuman (18)', 'Hiburan malam (17)', 'Hiburan & Permainan (14)', 'Museum (4)', 'Taman Air & Taman Hiburan (2)', 'Kebun Binatang & Akuarium (1)', '', 'Lihat semua', 'Cocok untuk Pasangan (238)', 'Harga terjangkau (197)', 'Cocok untuk Kelompok Besar (174)', 'Cocok untuk Penggemar Aktivitas Ekstrem (146)', 'Bagus Saat Hujan (112)', 'Berjiwa petualang (108)', 'Cocok untuk Anak-Anak (104)', 'Lokasi bulan madu (88)', 'Masuk Gratis (50)', 'Tempat yang Belum Populer (33)']","Nusa Tenggara Barat, Indonesia",274440
21,Indonesia,Canggu,Canggu,"['Tur (133)', 'Aktivitas Luar Ruangan (111)', 'Tur dengan Perahu & Olahraga Air (72)', 'Spa & Kebugaran (65)', 'Kursus & Sanggar (31)', 'Tempat Belanja (23)', 'Transportasi (22)', 'Hiburan & Permainan (16)', 'Makanan & Minuman (15)', 'Wisata Alam & Taman (8)', 'Hiburan malam (5)', 'Taman Air & Taman Hiburan (2)', 'Konser & Pertunjukan (2)', 'Pemandangan & Tengara (1)', 'Museum (1)', 'Cocok untuk Pasangan (72)', 'Bagus Saat Hujan (61)', 'Harga terjangkau (58)', 'Cocok untuk Anak-Anak (46)', 'Cocok untuk Penggemar Aktivitas Ekstrem (35)', 'Cocok untuk Kelompok Besar (25)', 'Masuk Gratis (17)', 'Lokasi bulan madu (16)', 'Berjiwa petualang (16)', 'Tempat yang Belum Populer (9)']","Kuta Utara, Indonesia",96894
22,Indonesia,Surabaya,Surabaya,"['Tur (104)', 'Aktivitas Luar Ruangan (86)', 'Pemandangan & Tengara (48)', 'Tempat Belanja (47)', 'Spa & Kebugaran (37)', 'Transportasi (23)', 'Hiburan & Permainan (19)', 'Wisata Alam & Taman (17)', 'Hiburan malam (16)', 'Museum (16)', 'Tur dengan Perahu & Olahraga Air (16)', 'Makanan & Minuman (10)', 'Kursus & Sanggar (5)', 'Taman Air & Taman Hiburan (5)', 'Sumber Informasi Wisatawan (2)', '', 'Lihat semua', 'Masuk Gratis (49)', 'Cocok untuk Anak-Anak (40)', 'Harga terjangkau (38)', 'Bagus Saat Hujan (36)', 'Cocok untuk Kelompok Besar (35)', 'Cocok untuk Pasangan (23)', 'Cocok untuk Penggemar Aktivitas Ekstrem (9)', 'Tempat yang Belum Populer (3)', 'Berjiwa petualang (3)']","Jawa Timur, Indonesia",86213
23,Indonesia,Denpasar,Denpasar,"['Tur (1.542)', 'Aktivitas Luar Ruangan (888)', 'Tur dengan Perahu & Olahraga Air (558)', 'Transportasi (331)', 'Spa & Kebugaran (150)', 'Tempat Belanja (147)', 'Makanan & Minuman (80)', 'Kursus & Sanggar (71)', 'Hiburan & Permainan (44)', 'Pemandangan & Tengara (38)', 'Wisata Alam & Taman (30)', 'Hiburan malam (26)', 'Museum (25)', 'Konser & Pertunjukan (5)', 'Taman Air & Taman Hiburan (2)', '', '', 'Lihat semua', 'Cocok untuk Pasangan (408)', 'Cocok untuk Anak-Anak (323)', 'Harga terjangkau (312)', 'Cocok untuk Kelompok Besar (268)', 'Bagus Saat Hujan (170)', 'Lokasi bulan madu (145)', 'Cocok untuk Penggemar Aktivitas Ekstrem (131)', 'Masuk Gratis (59)', 'Berjiwa petualang (57)', 'Tempat yang Belum Populer (38)']","Bali, Indonesia",291402
24,Indonesia,Bogor,Bogor,"['Wisata Alam & Taman (42)', 'Aktivitas Luar Ruangan (41)', 'Tur (37)', 'Pemandangan & Tengara (30)', 'Tempat Belanja (16)', 'Tur dengan Perahu & Olahraga Air (13)', 'Hiburan & Permainan (11)', 'Spa & Kebugaran (10)', 'Transportasi (8)', 'Taman Air & Taman Hiburan (7)', 'Museum (6)', 'Makanan & Minuman (4)', 'Kursus & Sanggar (2)', 'Hiburan malam (1)', 'Sumber Informasi Wisatawan (1)', 'Cocok untuk Anak-Anak (19)', 'Harga terjangkau (16)', 'Cocok untuk Kelompok Besar (12)', 'Cocok untuk Pasangan (7)', 'Masuk Gratis (6)', 'Cocok untuk Penggemar Aktivitas Ekstrem (5)', 'Berjiwa petualang (4)', 'Tempat yang Belum Populer (3)', 'Bagus Saat Hujan (3)', 'Lokasi bulan madu (1)']","Jawa Barat, Indonesia",38424
25,Indonesia,Puncak,Puncak,"['Tur (2)', 'Pemandangan & Tengara (2)', 'Wisata Alam & Taman (2)', 'Aktivitas Luar Ruangan (2)', 'Spa & Kebugaran (1)', 'Kebun Binatang & Akuarium (1)', 'Taman Air & Taman Hiburan (1)', 'Hiburan & Permainan (1)', 'Transportasi (1)', 'Cocok untuk Anak-Anak (5)', 'Harga terjangkau (3)', 'Cocok untuk Kelompok Besar (2)']","Jawa Barat, Indonesia",8282
26,Indonesia,Nusa Lembongan,Nusa Lembongan,"['Aktivitas Luar Ruangan (79)', 'Tur (77)', 'Tur dengan Perahu & Olahraga Air (72)', 'Spa & Kebugaran (24)', 'Transportasi (7)', 'Kursus & Sanggar (5)', 'Wisata Alam & Taman (5)', 'Pemandangan & Tengara (2)', 'Taman Air & Taman Hiburan (1)', 'Hiburan & Permainan (1)', 'Cocok untuk Pasangan (56)', 'Harga terjangkau (48)', 'Cocok untuk Penggemar Aktivitas Ekstrem (36)', 'Bagus Saat Hujan (29)', 'Berjiwa petualang (25)', 'Cocok untuk Anak-Anak (21)', 'Cocok untuk Kelompok Besar (21)', 'Lokasi bulan madu (21)', 'Tempat yang Belum Populer (9)', 'Masuk Gratis (7)']","Bali, Indonesia",77345
27,Indonesia,Tanjungbenoa,Tanjungbenoa,"['Tur (58)', 'Aktivitas Luar Ruangan (54)', 'Tur dengan Perahu & Olahraga Air (52)', 'Spa & Kebugaran (21)', 'Makanan & Minuman (5)', 'Kursus & Sanggar (4)', 'Transportasi (4)', 'Hiburan malam (3)', 'Tempat Belanja (2)', 'Pemandangan & Tengara (2)', 'Hiburan & Permainan (2)', 'Wisata Alam & Taman (1)', 'Cocok untuk Pasangan (19)', 'Lokasi bulan madu (12)', 'Cocok untuk Penggemar Aktivitas Ekstrem (12)', 'Harga terjangkau (11)', 'Bagus Saat Hujan (11)', 'Cocok untuk Anak-Anak (7)', 'Cocok untuk Kelompok Besar (6)', 'Berjiwa petualang (5)', 'Tempat yang Belum Populer (2)', 'Masuk Gratis (2)']","Semenanjung Nusa Dua, Indonesia",54330
28,Indonesia,Uluwatu,Uluwatu,"['Aktivitas Luar Ruangan (17)', 'Tur (16)', 'Transportasi (8)', 'Spa & Kebugaran (7)', 'Tur dengan Perahu & Olahraga Air (7)', 'Kursus & Sanggar (4)', 'Hiburan malam (3)', 'Tempat Belanja (2)', 'Pemandangan & Tengara (2)', 'Wisata Alam & Taman (2)', 'Makanan & Minuman (1)', 'Bagus Saat Hujan (7)', 'Cocok untuk Pasangan (6)', 'Cocok untuk Anak-Anak (6)', 'Harga terjangkau (4)', 'Cocok untuk Kelompok Besar (4)', 'Lokasi bulan madu (4)', 'Cocok untuk Penggemar Aktivitas Ekstrem (3)', 'Masuk Gratis (3)', 'Berjiwa petualang (2)', 'Tempat yang Belum Populer (1)']","Bali, Indonesia",19396
29,Indonesia,Gili Trawangan,Gili Trawangan,"['Tur (65)', 'Aktivitas Luar Ruangan (65)', 'Tur dengan Perahu & Olahraga Air (60)', 'Spa & Kebugaran (21)', 'Transportasi (14)', 'Hiburan malam (11)', 'Kursus & Sanggar (6)', 'Hiburan & Permainan (6)', 'Makanan & Minuman (2)', 'Pemandangan & Tengara (2)', 'Wisata Alam & Taman (2)', 'Tempat Belanja (1)', 'Cocok untuk Pasangan (46)', 'Harga terjangkau (42)', 'Bagus Saat Hujan (42)', 'Cocok untuk Penggemar Aktivitas Ekstrem (31)', 'Cocok untuk Kelompok Besar (29)', 'Lokasi bulan madu (21)', 'Berjiwa petualang (18)', 'Cocok untuk Anak-Anak (10)', 'Masuk Gratis (9)', 'Tempat yang Belum Populer (3)']","Kepulauan Gili, Indonesia",96583
30,Indonesia,Tulamben,Tulamben,"['Tur (37)', 'Aktivitas Luar Ruangan (32)', 'Tur dengan Perahu & Olahraga Air (30)', 'Transportasi (5)', 'Tempat Belanja (3)', 'Wisata Alam & Taman (3)', 'Spa & Kebugaran (1)', 'Kursus & Sanggar (1)', 'Pemandangan & Tengara (1)', 'Cocok untuk Pasangan (20)', 'Harga terjangkau (20)', 'Cocok untuk Penggemar Aktivitas Ekstrem (13)', 'Cocok untuk Kelompok Besar (11)', 'Bagus Saat Hujan (9)', 'Cocok untuk Anak-Anak (8)', 'Lokasi bulan madu (8)', 'Berjiwa petualang (8)', 'Masuk Gratis (3)', 'Tempat yang Belum Populer (2)']","Bali, Indonesia",15203
32,Indonesia,Samosir,Samosir,"['Wisata Alam & Taman (11)', 'Pemandangan & Tengara (7)', 'Aktivitas Luar Ruangan (6)', 'Museum (3)', 'Hiburan malam (2)', 'Tempat Belanja (2)', 'Tur (1)', 'Konser & Pertunjukan (1)', 'Sumber Informasi Wisatawan (1)', 'Harga terjangkau (5)', 'Cocok untuk Anak-Anak (4)', 'Cocok untuk Kelompok Besar (2)', 'Masuk Gratis (2)', 'Tempat yang Belum Populer (1)']","Sumatera Utara, Indonesia",6041
34,Indonesia,Purwokerto,Purwokerto,"['Wisata Alam & Taman (10)', 'Pemandangan & Tengara (8)', 'Hiburan malam (2)', 'Tempat Belanja (2)', 'Tur (2)', 'Museum (2)', 'Hiburan & Permainan (2)', 'Aktivitas Luar Ruangan (2)', 'Spa & Kebugaran (1)', 'Kursus & Sanggar (1)', 'Kebun Binatang & Akuarium (1)', 'Taman Air & Taman Hiburan (1)', 'Cocok untuk Anak-Anak (10)', 'Harga terjangkau (4)', 'Cocok untuk Pasangan (2)', 'Masuk Gratis (2)', 'Cocok untuk Kelompok Besar (1)', 'Lokasi bulan madu (1)', 'Bagus Saat Hujan (1)']","Jawa Tengah, Indonesia",3635
36,Indonesia,Pulau Bunaken,Pulau Bunaken,"['Tur (2)', 'Tur dengan Perahu & Olahraga Air (2)', 'Aktivitas Luar Ruangan (2)', 'Hiburan malam (1)', 'Wisata Alam & Taman (1)', 'Transportasi (1)', 'Cocok untuk Pasangan (2)', 'Cocok untuk Kelompok Besar (2)', 'Harga terjangkau (1)', 'Lokasi bulan madu (1)', 'Cocok untuk Penggemar Aktivitas Ekstrem (1)', 'Tempat yang Belum Populer (1)', 'Bagus Saat Hujan (1)']","Manado, Indonesia",4767
37,Indonesia,Berastagi,Berastagi,"['Tur (7)', 'Aktivitas Luar Ruangan (7)', 'Wisata Alam & Taman (4)', 'Pemandangan & Tengara (2)', 'Transportasi (2)', 'Tempat Belanja (1)', 'Makanan & Minuman (1)', 'Spa & Kebugaran (1)', 'Museum (1)', 'Taman Air & Taman Hiburan (1)', 'Hiburan & Permainan (1)', 'Harga terjangkau (6)', 'Cocok untuk Pasangan (5)', 'Cocok untuk Anak-Anak (5)', 'Cocok untuk Kelompok Besar (5)', 'Cocok untuk Penggemar Aktivitas Ekstrem (3)', 'Masuk Gratis (2)', 'Berjiwa petualang (1)']","Sumatera Utara, Indonesia",3357
39,Indonesia,Sidemen,Sidemen,"['Tur (15)', 'Aktivitas Luar Ruangan (10)', 'Tempat Belanja (6)', 'Transportasi (5)', 'Pemandangan & Tengara (3)', 'Spa & Kebugaran (2)', 'Kursus & Sanggar (2)', 'Wisata Alam & Taman (2)', 'Makanan & Minuman (1)', 'Museum (1)', 'Tur dengan Perahu & Olahraga Air (1)', 'Hiburan & Permainan (1)', 'Cocok untuk Pasangan (7)', 'Cocok untuk Anak-Anak (4)', 'Harga terjangkau (3)', 'Bagus Saat Hujan (3)', 'Cocok untuk Kelompok Besar (2)', 'Lokasi bulan madu (2)', 'Tempat yang Belum Populer (2)', 'Berjiwa petualang (2)', 'Cocok untuk Penggemar Aktivitas Ekstrem (1)']","Karangasem, Indonesia",6888
40,Indonesia,Anyer,Anyer,"['Wisata Alam & Taman (1)', 'Aktivitas Luar Ruangan (1)', 'Cocok untuk Anak-Anak (1)', 'Cocok untuk Kelompok Besar (1)']","Banten Province, Indonesia",2735
41,Indonesia,Nusa Penida,Nusa Penida,"['Tur (172)', 'Aktivitas Luar Ruangan (150)', 'Tur dengan Perahu & Olahraga Air (105)', 'Transportasi (23)', 'Wisata Alam & Taman (20)', 'Pemandangan & Tengara (8)', 'Spa & Kebugaran (5)', 'Kursus & Sanggar (3)', 'Hiburan malam (1)', 'Tempat Belanja (1)', 'Konser & Pertunjukan (1)', 'Cocok untuk Pasangan (63)', 'Cocok untuk Kelompok Besar (38)', 'Harga terjangkau (32)', 'Cocok untuk Anak-Anak (28)', 'Cocok untuk Penggemar Aktivitas Ekstrem (27)', 'Berjiwa petualang (22)', 'Masuk Gratis (14)', 'Bagus Saat Hujan (14)', 'Lokasi bulan madu (11)', 'Tempat yang Belum Populer (8)']","Bali, Indonesia",24938
