Country Name,Travel Destination,Things to Do,location,reviewcount,Hotel Link,Hotel Best Deal,Flight Link,Flight Best Deal
Indonesia,Pangandaran,"['Aktivitas Luar Ruangan (26)', 'Tur (23)', 'Tur dengan Perahu & Olahraga Air (17)', 'Wisata Alam & Taman (12)', 'Transportasi (3)', 'Hiburan & Permainan (1)', 'Harga terjangkau (7)', 'Cocok untuk Anak-Anak (6)', 'Cocok untuk Kelompok Besar (6)', 'Cocok untuk Penggemar Aktivitas Ekstrem (6)', 'Berjiwa petualang (3)', 'Cocok untuk Pasangan (2)', 'Lokasi bulan madu (2)', 'Tempat yang Belum Populer (1)', 'Masuk Gratis (1)']","Jawa Barat, Indonesia",3478,https://www.tripadvisor.co.id/Hotels-g1137814-Pangandaran_West_Java_Java-Hotels.html,460694,https://www.tripadvisor.co.id/Flights-g1137814-Pangandaran_West_Java_Java-Cheap_Discount_Airfares.html,0
Indonesia,Ungasan,"['Aktivitas Luar Ruangan (10)', 'Tur (8)', 'Spa & Kebugaran (7)', 'Wisata Alam & Taman (5)', 'Tempat Belanja (3)', 'Kursus & Sanggar (2)', 'Taman Air & Taman Hiburan (2)', 'Tur dengan Perahu & Olahraga Air (2)', 'Hiburan & Permainan (2)', 'Makanan & Minuman (1)', 'Pemandangan & Tengara (1)', 'Museum (1)', 'Acara (1)', 'Cocok untuk Pasangan (11)', 'Lokasi bulan madu (10)', 'Cocok untuk Kelompok Besar (8)', 'Harga terjangkau (6)', 'Cocok untuk Anak-Anak (6)', 'Bagus Saat Hujan (6)', 'Tempat yang Belum Populer (4)', 'Masuk Gratis (4)', 'Cocok untuk Penggemar Aktivitas Ekstrem (2)', 'Berjiwa petualang (2)']","Semenanjung Nusa Dua, Indonesia",20054,https://www.tripadvisor.co.id/Hotels-g1219108-Ungasan_Nusa_Dua_Peninsula_Bali-Hotels.html,1749174,https://www.tripadvisor.co.id/Flights-g1219108-Ungasan_Nusa_Dua_Peninsula_Bali-Cheap_Discount_Airfares.html,1305700
Indonesia,Candidasa,"['Tur (36)', 'Aktivitas Luar Ruangan (22)', 'Tur dengan Perahu & Olahraga Air (12)', 'Spa & Kebugaran (9)', 'Transportasi (3)', 'Tempat Belanja (2)', 'Makanan & Minuman (2)', 'Wisata Alam & Taman (2)', 'Hiburan malam (1)', 'Cocok untuk Pasangan (18)', 'Harga terjangkau (13)', 'Cocok untuk Anak-Anak (13)', 'Lokasi bulan madu (12)', 'Bagus Saat Hujan (10)', 'Cocok untuk Penggemar Aktivitas Ekstrem (8)', 'Cocok untuk Kelompok Besar (6)', 'Masuk Gratis (3)', 'Tempat yang Belum Populer (2)', 'Berjiwa petualang (1)']","Karangasem, Indonesia",30957,https://www.tripadvisor.co.id/Hotels-g312684-Candidasa_Karangasem_Bali-Hotels.html,744245,https://www.tripadvisor.co.id/Flights-g312684-Candidasa_Karangasem_Bali-Cheap_Discount_Airfares.html,1305700
Indonesia,Banyuwangi,"['Aktivitas Luar Ruangan (140)', 'Tur (138)', 'Wisata Alam & Taman (39)', 'Transportasi (34)', 'Tur dengan Perahu & Olahraga Air (27)', 'Pemandangan & Tengara (11)', 'Makanan & Minuman (3)', 'Spa & Kebugaran (3)', 'Tempat Belanja (2)', 'Taman Air & Taman Hiburan (2)', 'Hiburan & Permainan (2)', 'Kursus & Sanggar (1)', 'Museum (1)', 'Cocok untuk Pasangan (35)', 'Cocok untuk Kelompok Besar (34)', 'Harga terjangkau (26)', 'Cocok untuk Penggemar Aktivitas Ekstrem (18)', 'Cocok untuk Anak-Anak (13)', 'Berjiwa petualang (9)', 'Masuk Gratis (5)', 'Lokasi bulan madu (4)', 'Tempat yang Belum Populer (3)', 'Bagus Saat Hujan (1)']","Jawa Timur, Indonesia",13699,https://www.tripadvisor.co.id/Hotels-g317103-Banyuwangi_East_Java_Java-Hotels.html,619835,https://www.tripadvisor.co.id/Flights-g317103-Banyuwangi_East_Java_Java-Cheap_Discount_Airfares.html,1361200
Indonesia,Balikpapan,"['Wisata Alam & Taman (22)', 'Aktivitas Luar Ruangan (18)', 'Pemandangan & Tengara (13)', 'Tempat Belanja (10)', 'Tur (10)', 'Hiburan malam (3)', 'Taman Air & Taman Hiburan (3)', 'Spa & Kebugaran (2)', 'Museum (2)', 'Tur dengan Perahu & Olahraga Air (2)', 'Transportasi (2)', 'Makanan & Minuman (1)', 'Kursus & Sanggar (1)', 'Hiburan & Permainan (1)', 'Harga terjangkau (17)', 'Cocok untuk Anak-Anak (14)', 'Masuk Gratis (11)', 'Cocok untuk Kelompok Besar (6)', 'Bagus Saat Hujan (3)', 'Cocok untuk Pasangan (1)', 'Berjiwa petualang (1)']","Kalimantan Timur, Indonesia",10383,https://www.tripadvisor.co.id/Hotels-g317100-Balikpapan_East_Kalimantan_Kalimantan-Hotels.html,450000,https://www.tripadvisor.co.id/Flights-g317100-Balikpapan_East_Kalimantan_Kalimantan-Cheap_Discount_Airfares.html,1251000
Indonesia,Semarang,"['Pemandangan & Tengara (42)', 'Tur (20)', 'Wisata Alam & Taman (17)', 'Aktivitas Luar Ruangan (15)', 'Tempat Belanja (14)', 'Hiburan malam (11)', 'Hiburan & Permainan (10)', 'Transportasi (10)', 'Spa & Kebugaran (9)', 'Tur dengan Perahu & Olahraga Air (5)', 'Museum (4)', 'Taman Air & Taman Hiburan (4)', 'Makanan & Minuman (3)', 'Kursus & Sanggar (3)', 'Konser & Pertunjukan (1)', '', 'Lihat semua', 'Cocok untuk Anak-Anak (24)', 'Masuk Gratis (20)', 'Harga terjangkau (19)', 'Cocok untuk Kelompok Besar (15)', 'Cocok untuk Pasangan (6)', 'Bagus Saat Hujan (5)', 'Berjiwa petualang (2)', 'Lokasi bulan madu (1)', 'Cocok untuk Penggemar Aktivitas Ekstrem (1)', 'Tempat yang Belum Populer (1)']","Jawa Tengah, Indonesia",36995,https://www.tripadvisor.co.id/Hotels-g297712-Semarang_Central_Java_Java-Hotels.html,688726,https://www.tripadvisor.co.id/Flights-g297712-Semarang_Central_Java_Java-Cheap_Discount_Airfares.html,751044
Indonesia,Flores,"['Tur (414)', 'Aktivitas Luar Ruangan (411)', 'Tur dengan Perahu & Olahraga Air (298)', 'Wisata Alam & Taman (54)', 'Pemandangan & Tengara (37)', 'Transportasi (31)', 'Tempat Belanja (10)', 'Makanan & Minuman (10)', 'Spa & Kebugaran (5)', 'Museum (3)', 'Kursus & Sanggar (2)', 'Hiburan & Permainan (1)', 'Konser & Pertunjukan (1)', 'Cocok untuk Pasangan (135)', 'Cocok untuk Kelompok Besar (117)', 'Cocok untuk Anak-Anak (80)', 'Harga terjangkau (68)', 'Berjiwa petualang (63)', 'Cocok untuk Penggemar Aktivitas Ekstrem (55)', 'Lokasi bulan madu (34)', 'Tempat yang Belum Populer (29)', 'Masuk Gratis (18)', 'Bagus Saat Hujan (8)']","Nusa Tenggara Timur, Indonesia",56222,https://www.tripadvisor.co.id/Hotels-g297729-Flores_East_Nusa_Tenggara-Hotels.html,702479,https://www.tripadvisor.co.id/Flights-g297729-Flores_East_Nusa_Tenggara-Cheap_Discount_Airfares.html,3106350
Indonesia,Padang,"['Aktivitas Luar Ruangan (34)', 'Wisata Alam & Taman (25)', 'Tur (22)', 'Pemandangan & Tengara (9)', 'Tur dengan Perahu & Olahraga Air (9)', 'Transportasi (6)', 'Tempat Belanja (5)', 'Makanan & Minuman (3)', 'Hiburan malam (2)', 'Spa & Kebugaran (2)', 'Kursus & Sanggar (2)', 'Museum (2)', 'Hiburan & Permainan (2)', 'Taman Air & Taman Hiburan (1)', 'Cocok untuk Anak-Anak (12)', 'Harga terjangkau (9)', 'Cocok untuk Kelompok Besar (7)', 'Masuk Gratis (7)', 'Cocok untuk Pasangan (4)', 'Cocok untuk Penggemar Aktivitas Ekstrem (3)', 'Bagus Saat Hujan (3)', 'Berjiwa petualang (1)']","West Sumatra, Indonesia",8722,https://www.tripadvisor.co.id/Hotels-g297726-Padang_West_Sumatra_Sumatra-Hotels.html,320329,https://www.tripadvisor.co.id/Flights-g297726-Padang_West_Sumatra_Sumatra-Cheap_Discount_Airfares.html,1111700
Indonesia,Medan,"['Tur (52)', 'Aktivitas Luar Ruangan (45)', 'Tempat Belanja (18)', 'Spa & Kebugaran (16)', 'Transportasi (15)', 'Hiburan malam (13)', 'Pemandangan & Tengara (11)', 'Wisata Alam & Taman (11)', 'Makanan & Minuman (9)', 'Museum (9)', 'Tur dengan Perahu & Olahraga Air (5)', 'Hiburan & Permainan (5)', 'Kursus & Sanggar (4)', 'Taman Air & Taman Hiburan (4)', 'Kebun Binatang & Akuarium (1)', 'Cocok untuk Kelompok Besar (18)', 'Bagus Saat Hujan (16)', 'Cocok untuk Anak-Anak (15)', 'Harga terjangkau (14)', 'Masuk Gratis (13)', 'Cocok untuk Pasangan (10)', 'Cocok untuk Penggemar Aktivitas Ekstrem (3)', 'Lokasi bulan madu (1)', 'Tempat yang Belum Populer (1)', 'Berjiwa petualang (1)']","Sumatera Utara, Indonesia",30107,https://www.tripadvisor.co.id/Hotels-g297725-Medan_North_Sumatra_Sumatra-Hotels.html,653058,https://www.tripadvisor.co.id/Flights-g297725-Medan_North_Sumatra_Sumatra-Cheap_Discount_Airfares.html,1285565
Indonesia,Bandar Lampung,"['Wisata Alam & Taman (15)', 'Aktivitas Luar Ruangan (9)', 'Pemandangan & Tengara (7)', 'Tempat Belanja (6)', 'Tur (5)', 'Taman Air & Taman Hiburan (4)', 'Transportasi (4)', 'Tur dengan Perahu & Olahraga Air (3)', 'Spa & Kebugaran (2)', 'Museum (1)', 'Hiburan & Permainan (1)', 'Acara (1)', 'Cocok untuk Anak-Anak (11)', 'Harga terjangkau (6)', 'Cocok untuk Kelompok Besar (6)', 'Masuk Gratis (4)', 'Cocok untuk Pasangan (3)', 'Bagus Saat Hujan (3)', 'Lokasi bulan madu (1)']","Lampung, Indonesia",7673,https://www.tripadvisor.co.id/Hotels-g297722-Bandar_Lampung_Lampung_Sumatra-Hotels.html,330579,https://www.tripadvisor.co.id/Flights-g297722-Bandar_Lampung_Lampung_Sumatra-Cheap_Discount_Airfares.html,500300
Indonesia,Sumba,"['Wisata Alam & Taman (56)', 'Aktivitas Luar Ruangan (34)', 'Pemandangan & Tengara (12)', 'Tur (8)', 'Tempat Belanja (3)', 'Hiburan & Permainan (3)', 'Kasino & Perjudian (2)', 'Transportasi (2)', 'Tur dengan Perahu & Olahraga Air (1)', 'Masuk Gratis (12)', 'Cocok untuk Anak-Anak (10)', 'Cocok untuk Kelompok Besar (9)', 'Harga terjangkau (6)', 'Cocok untuk Pasangan (5)', 'Tempat yang Belum Populer (4)', 'Lokasi bulan madu (2)', 'Cocok untuk Penggemar Aktivitas Ekstrem (2)', 'Bagus Saat Hujan (2)', 'Berjiwa petualang (1)']","Nusa Tenggara Timur, Indonesia",3273,https://www.tripadvisor.co.id/Hotels-g297731-Sumba_East_Nusa_Tenggara-Hotels.html,878182,https://www.tripadvisor.co.id/Flights-g297731-Sumba_East_Nusa_Tenggara-Cheap_Discount_Airfares.html,3113200
Indonesia,Cirebon,"['Pemandangan & Tengara (16)', 'Tempat Belanja (12)', 'Tur (8)', 'Aktivitas Luar Ruangan (5)', 'Wisata Alam & Taman (4)', 'Transportasi (4)', 'Spa & Kebugaran (2)', 'Makanan & Minuman (1)', 'Museum (1)', 'Taman Air & Taman Hiburan (1)', 'Tur dengan Perahu & Olahraga Air (1)', 'Harga terjangkau (9)', 'Cocok untuk Anak-Anak (9)', 'Cocok untuk Kelompok Besar (7)', 'Masuk Gratis (7)', 'Bagus Saat Hujan (5)', 'Cocok untuk Pasangan (2)']","Jawa Barat, Indonesia",11111,https://www.tripadvisor.co.id/Hotels-g297707-Cirebon_West_Java_Java-Hotels.html,250000,https://www.tripadvisor.co.id/Flights-g297707-Cirebon_West_Java_Java-Cheap_Discount_Airfares.html,0
Indonesia,Malang,"['Aktivitas Luar Ruangan (168)', 'Tur (147)', 'Wisata Alam & Taman (107)', 'Transportasi (47)', 'Pemandangan & Tengara (40)', 'Tempat Belanja (25)', 'Spa & Kebugaran (19)', 'Tur dengan Perahu & Olahraga Air (16)', 'Museum (8)', 'Taman Air & Taman Hiburan (7)', 'Hiburan & Permainan (7)', 'Makanan & Minuman (6)', 'Hiburan malam (4)', 'Kursus & Sanggar (4)', 'Cocok untuk Anak-Anak (42)', 'Harga terjangkau (39)', 'Cocok untuk Kelompok Besar (31)', 'Cocok untuk Pasangan (25)', 'Masuk Gratis (25)', 'Bagus Saat Hujan (13)', 'Cocok untuk Penggemar Aktivitas Ekstrem (11)', 'Berjiwa petualang (6)', 'Lokasi bulan madu (1)', 'Tempat yang Belum Populer (1)']","Jawa Timur, Indonesia",33782,https://www.tripadvisor.co.id/Hotels-g297710-Malang_East_Java_Java-Hotels.html,383838,https://www.tripadvisor.co.id/Flights-g297710-Malang_East_Java_Java-Cheap_Discount_Airfares.html,857217
Indonesia,Pekanbaru,"['Tempat Belanja (22)', 'Pemandangan & Tengara (10)', 'Wisata Alam & Taman (7)', 'Spa & Kebugaran (5)', 'Transportasi (4)', 'Hiburan malam (3)', 'Makanan & Minuman (3)', 'Taman Air & Taman Hiburan (3)', 'Hiburan & Permainan (2)', 'Aktivitas Luar Ruangan (2)', 'Tur (1)', 'Kebun Binatang & Akuarium (1)', 'Museum (1)', 'Sumber Informasi Wisatawan (1)', 'Masuk Gratis (7)', 'Harga terjangkau (6)', 'Cocok untuk Anak-Anak (6)', 'Bagus Saat Hujan (5)', 'Cocok untuk Kelompok Besar (4)']","Provinsi Riau, Indonesia",12316,https://www.tripadvisor.co.id/Hotels-g303957-Pekanbaru_Riau_Province_Sumatra-Hotels.html,367310,https://www.tripadvisor.co.id/Flights-g303957-Pekanbaru_Riau_Province_Sumatra-Cheap_Discount_Airfares.html,1098400
Indonesia,Gili Meno,"['Aktivitas Luar Ruangan (10)', 'Tur (7)', 'Tur dengan Perahu & Olahraga Air (7)', 'Wisata Alam & Taman (3)', 'Spa & Kebugaran (1)', 'Pemandangan & Tengara (1)', 'Transportasi (1)', 'Harga terjangkau (9)', 'Cocok untuk Pasangan (8)', 'Cocok untuk Penggemar Aktivitas Ekstrem (5)', 'Cocok untuk Anak-Anak (4)', 'Lokasi bulan madu (4)', 'Cocok untuk Kelompok Besar (3)', 'Masuk Gratis (3)', 'Bagus Saat Hujan (3)', 'Berjiwa petualang (2)', 'Tempat yang Belum Populer (1)']","Kepulauan Gili, Indonesia",14880,https://www.tripadvisor.co.id/Hotels-g664665-Gili_Meno_Gili_Islands_Pemenang_Lombok_West_Nusa_Tenggara-Hotels.html,1264789,https://www.tripadvisor.co.id/Flights-g664665-Gili_Meno_Gili_Islands_Pemenang_Lombok_West_Nusa_Tenggara-Cheap_Discount_Airfares.html,1186169
Indonesia,Gili Air,"['Aktivitas Luar Ruangan (40)', 'Tur (37)', 'Tur dengan Perahu & Olahraga Air (35)', 'Spa & Kebugaran (12)', 'Transportasi (7)', 'Kursus & Sanggar (3)', 'Hiburan malam (2)', 'Tempat Belanja (2)', 'Makanan & Minuman (1)', 'Hiburan & Permainan (1)', 'Bagus Saat Hujan (25)', 'Cocok untuk Pasangan (22)', 'Harga terjangkau (19)', 'Cocok untuk Penggemar Aktivitas Ekstrem (18)', 'Lokasi bulan madu (16)', 'Berjiwa petualang (12)', 'Cocok untuk Kelompok Besar (11)', 'Cocok untuk Anak-Anak (4)', 'Tempat yang Belum Populer (2)']","Kepulauan Gili, Indonesia",47702,https://www.tripadvisor.co.id/Hotels-g664667-Gili_Air_Gili_Islands_Pemenang_Lombok_West_Nusa_Tenggara-Hotels.html,437702,https://www.tripadvisor.co.id/Flights-g664667-Gili_Air_Gili_Islands_Pemenang_Lombok_West_Nusa_Tenggara-Cheap_Discount_Airfares.html,1186169
Indonesia,Cisarua,"['Wisata Alam & Taman (4)', 'Aktivitas Luar Ruangan (4)', 'Tur (2)', 'Taman Air & Taman Hiburan (2)', 'Pemandangan & Tengara (1)', 'Kebun Binatang & Akuarium (1)', 'Tur dengan Perahu & Olahraga Air (1)', 'Hiburan & Permainan (1)', 'Cocok untuk Anak-Anak (2)', 'Cocok untuk Kelompok Besar (2)', 'Cocok untuk Pasangan (1)', 'Harga terjangkau (1)', 'Masuk Gratis (1)', 'Berjiwa petualang (1)']","Jawa Barat, Indonesia",2511,https://www.tripadvisor.co.id/Hotels-g644045-Cisarua_West_Java_Java-Hotels.html,583333,https://www.tripadvisor.co.id/Flights-g644045-Cisarua_West_Java_Java-Cheap_Discount_Airfares.html,0
Indonesia,Tuban,"['Tur (54)', 'Aktivitas Luar Ruangan (29)', 'Transportasi (22)', 'Spa & Kebugaran (13)', 'Tur dengan Perahu & Olahraga Air (10)', 'Tempat Belanja (6)', 'Kursus & Sanggar (2)', 'Pemandangan & Tengara (2)', 'Wisata Alam & Taman (2)', 'Hiburan malam (1)', 'Makanan & Minuman (1)', 'Museum (1)', 'Hiburan & Permainan (1)', 'Cocok untuk Pasangan (16)', 'Cocok untuk Anak-Anak (14)', 'Harga terjangkau (10)', 'Bagus Saat Hujan (10)', 'Cocok untuk Kelompok Besar (9)', 'Lokasi bulan madu (4)', 'Masuk Gratis (3)', 'Tempat yang Belum Populer (2)', 'Cocok untuk Penggemar Aktivitas Ekstrem (1)', 'Berjiwa petualang (1)']","Kuta, Indonesia",20552,https://www.tripadvisor.co.id/Hotels-g562690-Tuban_Kuta_Kuta_District_Bali-Hotels.html,788500,https://www.tripadvisor.co.id/Flights-g562690-Tuban_Kuta_Kuta_District_Bali-Cheap_Discount_Airfares.html,1305700
